t (s);sp (cm)
90,14406289;10
90,20411694;10
90,27098019;10
90,34600069;10
90,43124839;10
90,52957119;10
90,64509516;10
90,78403873;10
90,95625242;10
91;10
91,03971375;10
91,0794275;10
91,12789807;10
91,18003025;10
91,23731228;10
91,30064653;10
91,37135251;10
91,45117578;10
91,54252038;10
91,64879871;10
91,77504386;10
91,92902591;10
92;10
92,04355444;10
92,08710888;10
92,14235339;10
92,2021012;10
92,268607;10
92,34318336;10
92,4278709;10
92,52546861;10
92,64002497;10
92,77762772;10
92,9478955;10
93;10
93,04394094;10
93,08788188;10
93,14310466;10
93,20289354;10
93,26943907;10
93,34406622;10
93,42881751;10
93,52649775;10
93,64116416;10
93,77891925;10
93,94940789;10
94;10
94,03880329;10
94,07760658;10
94,1258566;10
94,17762994;10
94,2344984;10
94,29733271;10
94,36742681;10
94,44648638;10
94,53685582;10
94,64185411;10
94,76636128;10
94,91788306;10
95;10
95,04360376;10
95,08720753;10
95,14224575;10
95,20178768;10
95,26803687;10
95,34229757;10
95,4265868;10
95,52366965;10
95,6375399;10
95,77419356;10
95,94308688;10
96;10
96,03800869;10
96,07601737;10
96,12406649;10
96,17551905;10
96,23201745;10
96,29440502;10
96,36395305;10
96,44233206;10
96,53183404;10
96,63569616;10
96,75866482;10
96,90801587;10
97;10
97,04272786;10
97,08545572;10
97,13909846;10
97,19705087;10
97,2613606;10
97,33323615;10
97,41452738;10
97,5077506;10
97,61650339;10
97,74612213;10
97,90490421;10
98;10
98,03738896;10
98,07477791;10
98,12205807;10
98,1726298;10
98,22808013;10
98,28920992;10
98,35722318;10
98,43369473;10
98,52077324;10
98,62147356;10
98,74018129;10
98,88355602;10
99;10
99,04394826;10
99,08789652;10
99,14253468;10
99,20171747;10
99,26751231;10
99,34121571;10
99,42480234;10
99,52097823;10
99,63364181;10
99,76862969;10
99,93511652;10
100;10
100,0421523;10
100,0843047;10
100,1387401;10
100,197421;10
100,2626459;10
100,3356408;10
100,4183377;10
100,5133668;10
100,6245083;10
100,7574012;10
100,9208722;10
101;10
101,0377239;10
101,0754479;10
101,1235959;10
101,17511;10
101,2316888;10
101,294172;10
101,363837;10
101,4423618;10
101,5320494;10
101,6361545;10
101,7594518;10
101,909266;10
102;10
102,0422589;10
102,0845177;10
102,1375844;10
102,194865;10
102,2583603;10
102,3292375;10
102,4092793;10
102,5009024;10
102,607547;10
102,7342904;10
102,8889793;10
103;10
103,0377098;10
103,0754196;10
103,1227532;10
103,1734248;10
103,2289887;10
103,2902554;10
103,3584353;10
103,4351136;10
103,5224542;10
103,6234956;10
103,7426616;10
103,8866765;10
104;10
104,0434076;10
104,0868152;10
104,1408117;10
104,1992403;10
104,2641185;10
104,3366939;10
104,4188625;10
104,5132125;10
104,6234544;10
104,7551123;10
104,9168111;10
105;10
105,0370088;10
105,0740176;10
105,121063;10
105,1713397;10
105,2264432;10
105,287157;10
105,3546639;10
105,4305077;10
105,5167913;10
105,6164584;10
105,7337804;10
105,8752228;10
106;10
106,0424733;10
106,0849466;10
106,1374643;10
106,1942089;10
106,2570404;10
106,3271077;10
106,406138;10
106,4964693;10
106,6014177;10
106,7258572;10
106,8772834;10
107;10
107,0436687;10
107,0873374;10
107,142226;10
107,2016232;10
107,2676914;10
107,3417296;10
107,4257384;10
107,5224589;10
107,6358468;10
107,7718341;10
107,9397638;10
108;10
108,0362281;10
108,0724561;10
108,1185633;10
108,1677659;10
108,2215962;10
108,2807884;10
108,3464476;10
108,4200083;10
108,5034108;10
108,5993501;10
108,7116991;10
108,8462536;10
109;10
109,043572;10
109,087144;10
109,1404259;10
109,198138;10
109,2621291;10
109,3336182;10
109,4144245;10
109,5070263;10
109,6149595;10
109,7434586;10
109,9006443;10
110;10
110,0368109;10
110,0736218;10
110,120005;10
110,1695715;10
110,2238265;10
110,2835265;10
110,3498014;10
110,4241216;10
110,5084807;10
110,6056549;10
110,7196466;10
110,8564682;10
