t (s);u (mA)
91,92902591;5,631294241
92;8,245171699
92,04355444;7,376582149
92,08710888;6,807984635
92,14235339;6,356502609
92,2021012;6,069799151
92,268607;5,885950711
92,34318336;5,767293921
92,4278709;5,685993106
92,52546861;5,622724922
92,64002497;5,564288148
92,77762772;5,501402442
92,9478955;5,426459539
93;8,062105634
93,04394094;7,184654254
93,08788188;6,612783906
93,14310466;6,164203186
93,20289354;5,879613084
93,26943907;5,697839388
93,34406622;5,581264166
93,42881751;5,502160135
93,52649775;5,441311939
93,64116416;5,38564464
93,77891925;5,326041156
93,94940789;5,255128993
94;10,29094999
94,03880329;8,798306881
94,07760658;7,781153986
94,1258566;6,953750652
94,17762994;6,407110327
94,2344984;6,048851202
94,29733271;5,82034435
94,36742681;5,676305373
94,44648638;5,583712752
94,53685582;5,519244655
94,64185411;5,466975278
94,76636128;5,41617108
94,91788306;5,359156889
95;8,026396858
95,04360376;7,14482392
95,08720753;6,569553507
95,14224575;6,116815113
95,20178768;5,831218267
95,26803687;5,650714602
95,34229757;5,537320191
95,4265868;5,463052591
95,52366965;5,408592677
95,6375399;5,360939024
95,77419356;5,311278202
95,94308688;5,252878493
96;10,37133569
96,03800869;8,883217002
96,07601737;7,862104488
96,12406649;7,014718908
96,17551905;6,456283622
96,23201745;6,091141957
96,29440502;5,859789427
96,36395305;5,716093725
96,44233206;5,62640025
96,53183404;5,56696012
96,63569616;5,521642806
96,75866482;5,479765459
96,90801587;5,43402984
97;8,457120715
97,04272786;7,481404349
97,08545572;6,841005384
97,13909846;6,336843029
97,19705087;6,017891487
97,2613606;5,817411107
97,33323615;5,694108787
97,41452738;5,617364618
97,5077506;5,565914909
97,61650339;5,525500934
97,74612213;5,486762744
97,90490421;5,443226605
98;10,96592331
98,03738896;9,384409576
98,07477791;8,293726591
98,12205807;7,38390067
98,1726298;6,782259732
98,22808013;6,388270118
98,28920992;6,139314385
98,35722318;5,98660487
98,43369473;5,894362399
98,52077324;5,837229033
98,62147356;5,797977882
98,74018129;5,765356623
98,88355602;5,732078368
99;8,510151478
99,04394826;7,595271655
99,08789652;7,002774759
99,14253468;6,546842054
99,20171747;6,26182998
99,26751231;6,085835835
99,34121571;5,980229998
99,42480234;5,916716455
99,52097823;5,875910244
99,63364181;5,845062135
99,76862969;5,81603467
99,93511652;5,783408206
100;8,595647637
100,0421523;7,705431808
100,0843047;7,119020752
100,1387401;6,646094083
100,197421;6,351766511
100,2626459;6,170165186
100,3356408;6,061918122
100,4183377;5,997940227
100,5133668;5,95828339
100,6245083;5,92983426
100,7574012;5,904298353
100,9208722;5,876330499
101;10,9395769
101,0377239;9,484842391
101,0754479;8,485850039
101,1235959;7,65083217
101,17511;7,104897947
101,2316888;6,752056892
101,294172;6,533265668
101,363837;6,402810222
101,4423618;6,3274948
101,5320494;6,284103533
101,6361545;6,257172951
101,7594518;6,236922907
101,909266;6,217375328
102;9,416600195
102,0422589;8,406911964
102,0845177;7,743912652
102,1375844;7,223003529
102,194865;6,896374761
102,2583603;6,69526207
102,3292375;6,577047446
102,4092793;6,510150395
102,5009024;6,47274205
102,607547;6,450443039
102,7342904;6,434310397
102,8889793;6,419016405
103;11,93680819
103,0377098;10,35655166
103,0754196;9,272271114
103,1227532;8,379028092
103,1734248;7,791666159
103,2289887;7,411302018
103,2902554;7,175752628
103,3584353;7,036759401
103,4351136;6,959076946
103,5224542;6,917932041
103,6234956;6,896788221
103,7426616;6,885282944
103,8866765;6,877383193
104;9,836791642
104,0434076;8,887241353
104,0868152;8,271876307
104,1408117;7,799263585
104,1992403;7,506859024
104,2641185;7,330655463
104,3366939;7,230652822
104,4188625;7,177572948
104,5132125;7,15147126
104,6234544;7,139514542
104,7551123;7,134059992
104,9168111;7,130975409
105;12,80444116
105,0370088;11,21012863
105,0740176;10,10943011
105,121063;9,187749367
105,1713397;8,582245181
105,2264432;8,190476438
105,287157;7,948971097
105,3546639;7,80828253
105,4305077;7,732239579
105,5167913;7,695394176
105,6164584;7,680794228
105,7337804;7,67794106
105,8752228;7,680992516
106;11,07147752
106,0424733;10,00911967
106,0849466;9,315428203
106,1374643;8,781264248
106,1942089;8,448076675
106,2570404;8,246543792
106,3271077;8,13282735
106,406138;8,074535251
106,4964693;8,049347259
106,6014177;8,042761986
106,7258572;8,046156205
106,8772834;8,055112929
107;10,79905596
107,0436687;9,923213364
107,0873374;9,35873569
107,142226;8,925311478
107,2016232;8,662330751
107,2676914;8,508498948
107,3417296;8,426076252
107,4257384;8,387709514
107,5224589;8,375087632
107,6358468;8,376801356
107,7718341;8,386543398
107,9397638;8,401628187
108;14,65304151
108,0362281;12,93290159
108,0724561;11,73720654
108,1185633;10,72792879
108,1677659;10,06118187
108,2215962;9,627822702
108,2807884;9,360205057
108,3464476;9,205274283
108,4200083;9,123928704
108,5034108;9,088439913
108,5993501;9,080210158
108,7116991;9,087723142
108,8462536;9,104764035
109;12,29890729
109,043572;11,2882812
109,087144;10,63738953
109,1404259;10,14873436
109,198138;9,848688631
109,2621291;9,672333031
109,3336182;9,578170991
109,4144245;9,535924098
109,5070263;9,525056924
109,6149595;9,532614501
109,7434586;9,551395072
109,9006443;9,57846484
110;15,68023347
110,0368109;13,98558769
110,0736218;12,81549729
110,120005;11,84334771
110,1695715;11,20398452
110,2238265;10,79187433
110,2835265;10,54080964
110,3498014;10,39912433
110,4241216;10,3289092
110,5084807;10,30347271
110,6056549;10,30513519
110,7196466;10,32323736
110,8564682;10,35245295
111;12,56282095
111,0467842;11,83512205
111,0935685;11,3837969
111,1512441;11,0581769
111,2140651;10,87076558
111,2843001;10,77129504
111,3635076;10,72847794
111,4540713;10,72054217
111,5593232;10,73373255
111,6841745;10,760427
111,8361828;10,79767391
112;12,29966425
112,0496599;11,79334211
112,0993198;11,49042536
112,1620166;11,27823575
112,2305946;11,16630903
112,3080004;11,11583827
112,3962192;11,10381866
112,4984149;11,11516137
112,6191315;11,14128462
112,7653181;11,17854686
112,9481252;11,22722575
113;13,0768871
113,047349;12,46095079
113,0946981;12,08243335
113,1544191;11,80840901
113,2194709;11,65662204
113,2924889;11,58116661
113,3751713;11,5544138
113,4701909;11,55754561
113,5813177;11,57914963
113,7141908;11,61346768
113,8776333;11,65912751
114;13,91195641
114,0447332;13,19837108
114,0894664;12,74708888
114,1467827;12,4050602
114,2088774;12,20913659
114,2782691;12,1054196
114,3564183;12,0616808
114,4456345;12,05527821
114,5491214;12,07186178
114,6715831;12,10346855
114,8202203;12,14706564
115;15,93579547
115,0414198;14,79860201
115,0828396;14,05183849
115,1342727;13,47314683
115,1897291;13,11464325
115,2510101;12,90220803
115,3191852;12,78903745
115,3958614;12,74040003
115,4831986;12,73234687
115,5842357;12,74949039
115,7033958;12,78314295
115,8474025;12,8298187
116;14,76611119
116,0476931;14,13309022
116,0953862;13,7466411
116,1548169;13,47205135
116,2196275;13,3213878
116,2923299;13,2488784
116,3746196;13,22659836
116,469133;13,23561635
116,5795896;13,26454918
116,7115424;13,307854
116,8736638;13,36463266
117;14,54634304
117,0512525;14,15071434
117,102505;13,92128975
117,1685548;13,76631571
117,2409392;13,69424151
117,3231655;13,67239011
117,4175288;13,68213449
117,5278025;13,71204226
117,6595001;13,75657397
117,8212571;13,81487864
118;13,88031648
118,2790003;13,98280331
118,6474412;14,11821028
119;15,38898849
119,0490105;15,00553575
119,098021;14,77781958
119,1638349;14,61497478
119,2355304;14,53889966
119,3169623;14,51484077
119,4102916;14,52365225
119,5192016;14,55342652
119,6490307;14,59828481
119,8081146;14,6571363
120;15,11074503
120,0644586;14,97057287
120,1289173;14,90867223
120,2124693;14,88643166
120,306216;14,89697386
120,4162107;14,92809168
120,5473825;14,9741605
120,7084308;15,03440265
120,9133683;15,1122903
121;16,29242694
121,0479682;15,913867
121,0959364;15,6867037
121,161597;15,52008882
121,2329289;15,44235744
121,3139351;15,41772006
121,406713;15,42675712
121,5148965;15,45732884
121,6437328;15,50341166
121,8014001;15,56384863
122;15,64134587
122,2649763;15,74510067
122,6268644;15,88687678
123;16,03308185
123,3885417;16,18540731
123,7204046;16,31541179
124;16,04194134
124,0638561;16,23095791
124,1277121;16,3424734
124,211142;16,42976
124,3046058;16,49163009
124,414254;16,54521897
124,5449443;16,59999103
124,7053054;16,66344726
124,9092069;16,74287509
125;16,39578034
125,0598643;16,57539965
125,1197286;16,684489
125,2027552;16,77564648
125,2947844;16,83858962
125,4027404;16,89216677
